Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1031825659_2	SL4B	6	88	607	-0.855	0.855	27.841
1031825659_2	SL4B	7	1799.5	505	2.563	0.719	38.135
1031825659_2	SL4B	8	2634	425	5.198	0.839	56.483
1031825659_2	SL4B	9	1473.9	455	2.239	0.691	32.809
1031825659_2	SL4B	10	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	11	250	480	-0.479	0.479	12.039
1031825659_2	SL4B	12	0	529	-1	1	32.527
1031825659_2	SL4B	13	690	515	0.34	0.254	7.13
1031825659_2	SL4B	14	180	422	-0.573	0.573	13.949
1031825659_2	SL4B	15	40	454	-0.912	0.912	26.342
1031825659_2	SL4B	16	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	17	320	515	-0.379	0.379	9.543
1031825659_2	SL4B	18	264.7	449	-0.41	0.41	9.756
1031825659_2	SL4B	19	545.3	314	0.737	0.424	11.159
1031825659_2_r	SL4A	6	140.5	264	-0.468	0.468	8.684
1031825659_2_r	SL4A	7	120	473	-0.746	0.746	20.5
1031825659_2_r	SL4A	8	750	420	0.786	0.44	13.644
1031825659_2_r	SL4A	9	188.1	512	-0.633	0.633	17.312
1031825659_2_r	SL4A	10	1.9	524	-0.996	0.996	32.197
1031825659_2_r	SL4A	11	20	448	-0.955	0.955	27.979
1031825659_2_r	SL4A	12	109	416	-0.738	0.738	18.948
1031825659_2_r	SL4A	13	93	449	-0.793	0.793	21.625
1031825659_2_r	SL4A	14	235.2	523	-0.55	0.55	14.781
1031825659_2_r	SL4A	15	62.8	542	-0.884	0.884	27.557
1031825659_2_r	SL4A	16	360.2	497	-0.275	0.275	6.608
1031825659_2_r	SL4A	17	200.9	523	-0.616	0.616	16.93
1031825659_2_r	SL4A	18	635.6	534	0.19	0.16	4.201
1031825659_2_r	SL4A	19	1965.1	495	2.97	0.748	41.917
1037015119_2	49A	7	621.3	1190	-0.478	0.478	18.897
1037015119_2	49A	8	1530	969	0.579	0.367	15.871
1037015119_2	49A	9	2302	917	1.51	0.602	34.523
1037015119_2	49A	10	324.1	836	-0.612	0.612	21.255
1037015119_2	49A	11	40	890	-0.955	0.955	39.418
1037015119_2	49A	12	0	1057	-1	1	45.978
1037015119_2	49A	13	195.8	931	-0.79	0.79	30.974
1037015119_2	49A	14	191.9	929	-0.793	0.793	31.136
1037015119_2	49A	15	63.2	1240	-0.949	0.949	46.101
1037015119_2	49A	16	149.3	1185	-0.874	0.874	40.098
1037015119_2	49A	17	209	1726	-0.879	0.879	48.771
1037015119_2	49A	18	414.4	1514	-0.726	0.726	35.412
1037015119_2	49A	19	930.1	968	-0.039	0.039	1.23
