Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1031825659_2	SL4B	6	82.6	607	-0.864	0.864	28.241
1031825659_2	SL4B	7	1857	505	2.677	0.728	39.342
1031825659_2	SL4B	8	2798.9	425	5.586	0.848	59.127
1031825659_2	SL4B	9	1944.5	455	3.274	0.766	43.003
1031825659_2	SL4B	10	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	11	250	480	-0.479	0.479	12.039
1031825659_2	SL4B	12	0	529	-1	1	32.527
1031825659_2	SL4B	13	697.8	515	0.355	0.262	7.423
1031825659_2	SL4B	14	172.2	422	-0.592	0.592	14.492
1031825659_2	SL4B	15	40	454	-0.912	0.912	26.342
1031825659_2	SL4B	16	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	17	320	515	-0.379	0.379	9.543
1031825659_2	SL4B	18	272.6	449	-0.393	0.393	9.287
1031825659_2	SL4B	19	544.8	314	0.735	0.424	11.138
1031825659_2_r	SL4A	6	121.6	264	-0.539	0.539	10.255
1031825659_2_r	SL4A	7	120	473	-0.746	0.746	20.5
1031825659_2_r	SL4A	8	753.5	420	0.794	0.443	13.768
1031825659_2_r	SL4A	9	190	512	-0.629	0.629	17.187
1031825659_2_r	SL4A	10	0	524	-1	1	32.373
1031825659_2_r	SL4A	11	20	448	-0.955	0.955	27.979
1031825659_2_r	SL4A	12	102.5	416	-0.754	0.754	19.471
1031825659_2_r	SL4A	13	109.7	449	-0.756	0.756	20.301
1031825659_2_r	SL4A	14	247.7	523	-0.526	0.526	14.024
1031825659_2_r	SL4A	15	40.1	542	-0.926	0.926	29.419
1031825659_2_r	SL4A	16	254.8	497	-0.487	0.487	12.492
1031825659_2_r	SL4A	17	301.7	523	-0.423	0.423	10.898
1031825659_2_r	SL4A	18	633.5	534	0.186	0.157	4.118
1031825659_2_r	SL4A	19	1991.1	495	3.022	0.751	42.434
1037015119_2	49A	7	556.5	1190	-0.532	0.532	21.438
1037015119_2	49A	8	1206.3	969	0.245	0.197	7.195
1037015119_2	49A	9	1583.2	917	0.726	0.421	18.842
1037015119_2	49A	10	319.9	836	-0.617	0.617	21.468
1037015119_2	49A	11	24.7	890	-0.972	0.972	40.462
1037015119_2	49A	12	3.5	1057	-0.997	0.997	45.75
1037015119_2	49A	13	168.3	931	-0.819	0.819	32.532
1037015119_2	49A	14	140.9	929	-0.848	0.848	34.074
1037015119_2	49A	15	81.5	1240	-0.934	0.934	45.069
1037015119_2	49A	16	159.5	1185	-0.865	0.865	39.552
1037015119_2	49A	17	166.4	1726	-0.904	0.904	50.702
1037015119_2	49A	18	357.5	1514	-0.764	0.764	37.806
1037015119_2	49A	19	1150.1	968	0.188	0.158	5.596
1037015119_2	49A	20	668.9	624	0.072	0.067	1.766
1037015119_2	49A	21	645.1	453	0.424	0.298	8.198
1041510116_0	LC2A	7	0	37	-1	1	8.602
1041510116_0	LC2A	8	0	33	-1	1	8.124
1041510116_0	LC2A	9	118.3	25	3.732	0.789	11.022
1041510116_0	LC2A	10	71.7	26	1.758	0.637	6.539
1041510116_0	LC2A	11	20	35	-0.429	0.429	2.86
1041510116_0	LC2A	12	80	38	1.105	0.525	5.468
1041510116_0	LC2A	13	0	11	-1	1	4.69
1041510116_0	LC2A	14	92.8	34	1.729	0.634	7.385
1041510116_0	LC2A	15	107.2	32	2.35	0.701	9.014
1041510116_0	LC2A	16	0	23	-1	1	6.782
1041510116_0	LC2A	17	60	70	-0.143	0.143	1.24
1041510116_0_r	LC2B	7	230	59	2.898	0.743	14.225
1041510116_0_r	LC2B	8	60	37	0.622	0.383	3.303
1041510116_0_r	LC2B	9	0	32	-1	1	8
1041510116_0_r	LC2B	10	0	31	-1	1	7.874
1041510116_0_r	LC2B	11	0	44	-1	1	9.381
1041510116_0_r	LC2B	12	60	44	0.364	0.267	2.219
1041510116_0_r	LC2B	13	0	15	-1	1	5.477
1041510116_0_r	LC2B	14	0	20	-1	1	6.325
1041510116_0_r	LC2B	15	0	25	-1	1	7.071
1041510116_0_r	LC2B	16	80	20	3	0.75	8.485
1041510116_0_r	LC2B	17	0	48	-1	1	9.798
109598310_0	34B	7	989.9	1295	-0.236	0.236	9.027
109598310_0	34B	8	3641.7	920	2.958	0.747	56.989
109598310_0	34B	9	1350	950	0.421	0.296	11.795
109598310_0	34B	16	470	813	-0.422	0.422	13.542
109598310_0	34B	17	454.4	1282	-0.646	0.646	28.087
109598310_0	34B	18	1187.7	761	0.561	0.359	13.67
120044580_2	26B	7	2532.4	1878	0.348	0.258	13.935
120044580_2	26B	8	3658.9	1528	1.395	0.582	41.843
120044580_2	26B	9	3700.8	1330	1.783	0.641	47.271
120044580_2	26B	16	0	945	-1	1	43.474
120044580_2	26B	17	100	1084	-0.908	0.908	40.442
120044580_2	26B	18	98.3	1561	-0.937	0.937	50.782
120044580_2_r	26A	7	100	843	-0.881	0.881	34.217
120044580_2_r	26A	8	437.9	900	-0.513	0.513	17.866
120044580_2_r	26A	9	252.6	921	-0.726	0.726	27.593
120044580_2_r	26A	16	218.7	1255	-0.826	0.826	38.176
120044580_2_r	26A	17	240.7	1756	-0.863	0.863	47.958
120044580_2_r	26A	18	1284.5	1656	-0.224	0.224	9.689
120243725_0	123A	7	0	289	-1	1	24.042
120243725_0	123A	8	86.2	475	-0.819	0.819	23.21
120243725_0	123A	9	213.3	377	-0.434	0.434	9.529
120243725_0	123A	16	90	663	-0.864	0.864	29.531
120243725_0	123A	17	175.2	546	-0.679	0.679	19.527
120243725_0	123A	18	7.8	627	-0.988	0.988	34.756
120243725_0_r	123B	7	343.9	1054	-0.674	0.674	26.859
120243725_0_r	123B	8	230	989	-0.767	0.767	30.744
120243725_0_r	123B	9	261.1	830	-0.685	0.685	24.357
120243725_0_r	123B	16	9.5	660	-0.986	0.986	35.554
120243725_0_r	123B	17	0	777	-1	1	39.421
120243725_0_r	123B	18	2.1	802	-0.997	0.997	39.893
121677887_0	8A	7	1564.6	4925	-0.682	0.682	58.993
121677887_0	8A	8	5956.6	3848	0.548	0.354	30.116
121677887_0	8A	9	4769.2	3759	0.269	0.212	15.47
121677887_0	8A	16	969.2	3510	-0.724	0.724	53.689
121677887_0	8A	17	1766.9	5002	-0.647	0.647	55.609
121677887_0	8A	18	3262	5627	-0.42	0.42	35.475
121677894_0	8B	7	1828.5	3217	-0.432	0.432	27.645
121677894_0	8B	8	4623.9	3105	0.489	0.328	24.433
121677894_0	8B	9	2727.4	2589	0.053	0.051	2.684
121677894_0	8B	16	2177.7	3059	-0.288	0.288	17.223
121677894_0	8B	17	2028.4	4373	-0.536	0.536	41.443
121677894_0	8B	18	4378	3876	0.13	0.115	7.814
126161931_0	11A	7	260	195	0.333	0.25	4.309
126161931_0	11A	8	606.6	317	0.914	0.477	13.476
126161931_0	11A	9	391.2	334	0.171	0.146	3.004
126161931_0	11A	16	202.7	509	-0.602	0.602	16.237
126161931_0	11A	17	239.1	640	-0.626	0.626	19.122
126161931_0	11A	18	144.3	660	-0.781	0.781	25.716
126161931_0_r	11B	7	366.7	640	-0.427	0.427	12.182
126161931_0_r	11B	8	616.7	600	0.028	0.027	0.677
126161931_0_r	11B	9	447.6	579	-0.227	0.227	5.8
126161931_0_r	11B	16	247.6	452	-0.452	0.452	10.929
126161931_0_r	11B	17	387.4	442	-0.124	0.124	2.681
126161931_0_r	11B	18	434.2	477	-0.09	0.09	2.005
141770194_0	42B	7	74.9	582	-0.871	0.871	27.981
141770194_0	42B	8	340.9	552	-0.382	0.382	9.991
141770194_0	42B	9	203.2	400	-0.492	0.492	11.332
141770194_0	42B	16	0	1006	-1	1	44.855
141770194_0	42B	17	117.8	1145	-0.897	0.897	40.879
141770194_0	42B	18	316.4	1162	-0.728	0.728	31.102
158803813_0	49B	6	1207.4	2078	-0.419	0.419	21.48
158803813_0	49B	7	3442.4	3279	0.05	0.047	2.819
158803813_0	49B	8	4269.3	2656	0.607	0.378	27.416
158803813_0	49B	9	2029.4	2239	-0.094	0.094	4.537
158803813_0	49B	10	1027	2384	-0.569	0.569	32.859
158803813_0	49B	11	152.1	2544	-0.94	0.94	65.146
158803813_0	49B	12	356.5	2587	-0.862	0.862	58.141
158803813_0	49B	13	445.2	3066	-0.855	0.855	62.549
158803813_0	49B	14	743.5	2868	-0.741	0.741	49.995
158803813_0	49B	15	1108.3	4224	-0.738	0.738	60.341
158803813_0	49B	16	219.8	3886	-0.943	0.943	80.916
158803813_0	49B	17	487.2	4072	-0.88	0.88	75.082
158803813_0	49B	18	921.4	2836	-0.675	0.675	44.172
158803813_0	49B	19	1507.4	2278	-0.338	0.338	17.713
158803813_0	49B	20	354	1765	-0.799	0.799	43.349
158803813_0	49B	21	530.3	1499	-0.646	0.646	30.411
159453123_0	9B	7	1295.3	2590	-0.5	0.5	29.375
159453123_0	9B	8	2530	2170	0.166	0.142	7.426
159453123_0	9B	9	807.3	1754	-0.54	0.54	26.454
159453123_0	9B	10	806.6	1402	-0.425	0.425	17.917
159453123_0	9B	11	1059.6	1545	-0.314	0.314	13.451
159453123_0	9B	12	293.4	1551	-0.811	0.811	41.412
159453123_0	9B	13	808.3	1707	-0.526	0.526	25.342
159453123_0	9B	14	1302.8	1609	-0.19	0.19	8.025
159453123_0	9B	15	718	1382	-0.48	0.48	20.491
159453123_0	9B	16	946.4	1443	-0.344	0.344	14.367
159453123_0	9B	17	826.2	1606	-0.486	0.486	22.361
159453123_0	9B	18	1556.1	1280	0.216	0.177	7.332
159453123_0	9B	19	1877.4	1139	0.648	0.393	19.014
159453123_0	9B	20	1114.3	1132	-0.016	0.016	0.528
159453123_0	9B	21	647.9	847	-0.235	0.235	7.282
160295212_1	52A	7	110	480	-0.771	0.771	21.542
160295212_1	52A	8	586.8	455	0.29	0.225	5.775
160295212_1	52A	9	204.7	472	-0.566	0.566	14.532
160295212_1	52A	16	535	749	-0.286	0.286	8.446
160295212_1	52A	17	385.4	873	-0.559	0.559	19.439
160295212_1	52A	18	829.9	927	-0.105	0.105	3.276
160295212_1_r	52B	7	845.2	1215	-0.304	0.304	11.522
160295212_1_r	52B	8	1331.3	1118	0.191	0.16	6.095
160295212_1_r	52B	9	1402.2	1086	0.291	0.226	8.965
160295212_1_r	52B	16	479.9	906	-0.47	0.47	16.187
160295212_1_r	52B	17	375.4	965	-0.611	0.611	22.775
160295212_1_r	52B	18	356.8	1097	-0.675	0.675	27.454
166341477_0	105B	7	288.5	610	-0.527	0.527	15.168
166341477_0	105B	8	926	560	0.654	0.395	13.427
166341477_0	105B	9	832.8	592	0.407	0.289	9.022
166341477_0	105B	16	598.8	980	-0.389	0.389	13.568
166341477_0	105B	17	448.7	1321	-0.66	0.66	29.325
166341477_0	105B	18	1049.1	1297	-0.191	0.191	7.238
166341480_0	105A	7	1289.1	1141	0.13	0.115	4.249
166341480_0	105A	8	1798	1056	0.703	0.413	19.642
166341480_0	105A	9	974.2	793	0.228	0.186	6.096
166341480_0	105A	16	422.3	700	-0.397	0.397	11.723
166341480_0	105A	17	830.2	750	0.107	0.097	2.853
166341480_0	105A	18	1238.6	745	0.663	0.399	15.673
166974547_0	50B	7	834.3	1038	-0.196	0.196	6.658
166974547_0	50B	8	702.9	1128	-0.377	0.377	14.05
166974547_0	50B	9	290.9	1031	-0.718	0.718	28.788
166974547_0	50B	16	640.3	1059	-0.395	0.395	14.364
166974547_0	50B	17	518.9	1177	-0.559	0.559	22.6
166974547_0	50B	18	901.7	1195	-0.245	0.245	9.059
166974547_0_r	50A	7	241.1	446	-0.459	0.459	11.055
166974547_0_r	50A	8	938.9	420	1.235	0.553	19.907
166974547_0_r	50A	9	1281.5	584	1.194	0.544	22.838
166974547_0_r	50A	16	174.7	696	-0.749	0.749	24.984
166974547_0_r	50A	17	187.2	881	-0.788	0.788	30.021
166974547_0_r	50A	18	100.7	836	-0.88	0.88	33.977
167874801_0	129A	7	676.4	960	-0.295	0.295	9.915
167874801_0	129A	8	915.8	812	0.128	0.113	3.532
167874801_0	129A	9	555.6	733	-0.242	0.242	6.989
167874801_0	129A	16	608.3	839	-0.275	0.275	8.576
167874801_0	129A	17	803.8	1164	-0.309	0.309	11.483
167874801_0	129A	18	702	1325	-0.47	0.47	19.569
167932461_0	35B	7	2079.1	682	2.049	0.672	37.601
167932461_0	35B	8	1920	472	3.068	0.754	41.87
167932461_0	35B	9	1571.8	423	2.716	0.731	36.376
167932461_0	35B	16	840.4	296	1.839	0.648	22.838
167932461_0	35B	17	865.6	456	0.898	0.473	15.934
167932461_0	35B	18	1617	483	2.348	0.701	34.996
167934489_6	55A	7	604.3	1555	-0.611	0.611	28.934
167934489_6	55A	8	1103.6	1272	-0.132	0.132	4.886
167934489_6	55A	9	1825.9	1315	0.389	0.28	12.892
167934489_6	55A	16	371	1459	-0.746	0.746	35.968
167934489_6	55A	17	251.1	1853	-0.864	0.864	49.388
167934489_6	55A	18	159	1950	-0.918	0.918	55.153
168024956_3	18B	7	326.1	651	-0.499	0.499	14.699
168024956_3	18B	8	318.9	497	-0.358	0.358	8.818
168024956_3	18B	9	26.2	373	-0.93	0.93	24.547
168024956_3	18B	17	164.8	727	-0.773	0.773	26.624
168024956_3	18B	18	247.2	776	-0.681	0.681	23.379
168024956_3	18B	19	92.9	486	-0.809	0.809	23.106
168024968_2	18A	7	80.5	322	-0.75	0.75	17.024
168024968_2	18A	8	477.1	350	0.363	0.266	6.25
168024968_2	18A	9	560.5	393	0.426	0.299	7.671
168024968_2	18A	17	183.1	685	-0.733	0.733	24.091
168024968_2	18A	18	343.4	693	-0.504	0.504	15.358
168024968_2	18A	19	683.2	513	0.332	0.249	6.959
172844255_0	110B	7	887.7	2820	-0.685	0.685	44.878
172844255_0	110B	8	3145.6	3752	-0.162	0.162	10.326
172844255_0	110B	9	2817.7	2788	0.011	0.011	0.561
172844255_0	110B	16	1551.1	2454	-0.368	0.368	20.177
172844255_0	110B	17	945.8	3321	-0.715	0.715	51.424
172844255_0	110B	18	2002.8	4034	-0.504	0.504	36.971
173294230_0	110A	7	374.7	2531	-0.852	0.852	56.572
173294230_0	110A	8	2890.6	2030	0.424	0.298	17.35
173294230_0	110A	9	2244.2	1754	0.279	0.218	10.964
173294230_0	110A	16	695	2198	-0.684	0.684	39.518
173294230_0	110A	17	675.4	3064	-0.78	0.78	55.24
173294230_0	110A	18	1564.7	3236	-0.516	0.516	34.113
176085737_2	9A	7	2309.6	3244	-0.288	0.288	17.732
176085737_2	9A	8	1626.3	3286	-0.505	0.505	33.489
176085737_2	9A	9	1917.1	3801	-0.496	0.496	35.233
176085737_2	9A	10	1546.3	2379	-0.35	0.35	18.796
176085737_2	9A	11	1354.1	2384	-0.432	0.432	23.822
176085737_2	9A	12	1589.6	2737	-0.419	0.419	24.669
176085737_2	9A	13	2412.3	2822	-0.145	0.145	8.009
176085737_2	9A	14	468.1	2327	-0.799	0.799	49.725
176085737_2	9A	15	611.6	2535	-0.759	0.759	48.491
176085737_2	9A	16	756.5	2282	-0.668	0.668	39.138
176085737_2	9A	17	1042.8	2824	-0.631	0.631	40.509
176085737_2	9A	18	1118.4	3204	-0.651	0.651	44.863
176085737_2	9A	19	1284.9	1992	-0.355	0.355	17.469
176085737_2	9A	20	987.9	1562	-0.368	0.368	16.078
176085737_2	9A	21	833.2	1521	-0.452	0.452	20.047
177318238_0	102C	6	90	1024	-0.912	0.912	39.575
177318238_0	102C	7	1218.8	2943	-0.586	0.586	37.797
177318238_0	102C	8	3966.2	3484	0.138	0.122	7.901
177318238_0	102C	9	2843.3	2879	-0.012	0.012	0.667
177318238_0	102C	10	753.9	2402	-0.686	0.686	41.489
177318238_0	102C	11	890.8	2619	-0.66	0.66	41.254
177318238_0	102C	12	1071.1	2707	-0.604	0.604	37.639
177318238_0	102C	13	1474.1	2962	-0.502	0.502	31.593
177318238_0	102C	14	2675.1	3606	-0.258	0.258	16.611
177318238_0	102C	15	914.6	3187	-0.713	0.713	50.179
177318238_0	102C	16	908.2	3182	-0.715	0.715	50.28
177318238_0	102C	17	1563.8	3716	-0.579	0.579	41.888
177318238_0	102C	18	2983.3	2863	0.042	0.04	2.225
177318238_0	102C	19	5582.9	2818	0.981	0.495	42.661
177318238_0	102C	20	2678	2298	0.165	0.142	7.618
177318238_0	102C	21	1866.9	1966	-0.05	0.05	2.264
185966977_2	121A	7	2438.2	3074	-0.207	0.207	12.111
185966977_2	121A	8	4171.8	2800	0.49	0.329	23.235
185966977_2	121A	9	2614.4	2227	0.174	0.148	7.874
185966977_2	121A	16	304	1753	-0.827	0.827	45.182
185966977_2	121A	17	560.1	1952	-0.713	0.713	39.274
185966977_2	121A	18	1005.9	2062	-0.512	0.512	26.965
198197233_1	28A	7	928.4	809	0.148	0.129	4.051
198197233_1	28A	8	3382.3	790	3.281	0.766	56.756
198197233_1	28A	9	2803.3	944	1.97	0.663	42.954
198197233_1	28A	16	893.3	1241	-0.28	0.28	10.644
198197233_1	28A	17	789.8	1904	-0.585	0.585	30.36
198197233_1	28A	18	1826.6	2561	-0.287	0.287	15.68
203830401_0	2A	7	354.9	1391	-0.745	0.745	35.068
203830401_0	2A	8	811.6	1219	-0.334	0.334	12.786
203830401_0	2A	9	782.9	1065	-0.265	0.265	9.281
203830401_0	2A	16	150.1	998	-0.85	0.85	35.389
203830401_0	2A	17	820	1116	-0.265	0.265	9.514
203830401_0	2A	18	1163.4	1037	0.122	0.109	3.811
218949798_0	37B	7	3397.2	2674	0.27	0.213	13.126
218949798_0	37B	8	4341.6	1822	1.383	0.58	45.387
218949798_0	37B	9	1470.8	1687	-0.128	0.128	5.441
218949798_0	37B	17	21.1	2278	-0.991	0.991	66.565
218949798_0	37B	18	498.7	2275	-0.781	0.781	47.698
219319873_0	37C	7	70.6	2584	-0.973	0.973	68.989
219319873_0	37C	8	731.9	2196	-0.667	0.667	38.266
219319873_0	37C	9	372.6	1821	-0.795	0.795	43.735
219319873_0	37C	17	1551.2	2937	-0.472	0.472	29.254
219319873_0	37C	18	3620.1	3282	0.103	0.093	5.755
231442865_0	37D	7	0	196	-1	1	19.799
231442865_0	37D	8	0	145	-1	1	17.029
231442865_0	37D	9	0	190	-1	1	19.494
231442865_0	37D	17	0	259	-1	1	22.76
231442865_0	37D	18	0	302	-1	1	24.576
232285691_0	47A	7	587.7	1059	-0.445	0.445	16.425
232285691_0	47A	8	1942.7	1202	0.616	0.381	18.68
232285691_0	47A	9	922.2	1107	-0.167	0.167	5.802
232285691_0	47A	16	101.1	696	-0.855	0.855	29.799
232285691_0	47A	17	1160.8	915	0.269	0.212	7.63
232285691_0	47A	18	1228.6	738	0.665	0.399	15.645
232666440_0	102B	6	273.5	1701	-0.839	0.839	45.432
232666440_0	102B	7	2692.9	2888	-0.068	0.068	3.693
232666440_0	102B	8	5278.4	2766	0.908	0.476	39.615
232666440_0	102B	9	4157.3	2486	0.672	0.402	28.999
232666440_0	102B	10	3022.1	2561	0.18	0.153	8.727
