ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-25.01264181605057	-25.01264181605057	-25.01264181605057	-25.01264181605057
1	-22.0161227395607	-23.593616746717377	-22.790953157397613	-21.988289568077906
2	-19.41887929450694	-21.846590903126224	-20.4989233076415	-19.192254971435784
3	-17.710586904980854	-20.886062351819184	-19.172528486056283	-17.548804208988706
4	-16.583947249853566	-20.339465827668434	-18.307374960995496	-16.447717142157348
5	-16.184700423435935	-19.98743053550635	-17.847524643199726	-15.955626448999361
6	-15.634472717251242	-19.792407329641403	-17.474060776693126	-15.48499899390202
7	-15.205660481351945	-19.632558419289126	-17.131285053031494	-15.03901387102677
8	-14.914172943841864	-19.337880414337253	-16.778788051275782	-14.677852943492034
9	-14.825182409910234	-19.381917381870945	-16.735138374175015	-14.603996614261836
10	-14.814802695466941	-19.35657679588461	-16.615335985276047	-14.43329234578239
11	-14.712743847492577	-19.260450884928584	-16.509478752015728	-14.368125880335159
12	-14.602865650945054	-19.525595872374375	-16.587782631470812	-14.210624086856502
13	-14.55895976046084	-19.39275657681786	-16.5175004895612	-14.26269612346091
14	-14.321924183966939	-19.246348914726696	-16.302180490669745	-13.999907351512517
15	-14.476495848752563	-19.59743049176316	-16.580646331096702	-14.18610342685625
16	-14.403489715930236	-19.322760207518677	-16.35947962105111	-14.055240282406881
17	-14.30352357330913	-19.254686316194686	-16.299445231096282	-13.987439327926188
18	-14.329624331819465	-19.432345695213698	-16.34016833547674	-13.75648585338914
19	-14.23598835988526	-19.285347453697582	-16.299953132609495	-13.884104813521505
20	-14.239732071773496	-19.24571645101181	-16.29831739215079	-13.90326631846867
21	-14.244437372596867	-19.43185719097467	-16.40335825248084	-13.799037886144166
22	-14.148604804772809	-19.295354671355973	-16.284183865471583	-13.758333573921394
23	-14.24512749009171	-19.32484289563709	-16.32971564285277	-13.77256397469822
24	-14.172524933728445	-19.270830293168196	-16.340939099002867	-13.834119555041735
25	-14.20493364128637	-19.392145197413896	-16.393495563327427	-13.6828882225307
26	-14.234501019220389	-19.24179019798253	-16.34134500370367	-13.801068475892428
27	-14.213406909704624	-19.24440922372978	-16.393845130559296	-13.834536254516124
28	-14.124426043060613	-19.170911655861993	-16.327408853369207	-13.75211420522612
29	-14.194096917840897	-19.170717632083118	-16.348062037231404	-13.74151732675387
30	-14.18409442446803	-19.111539876468672	-16.34453169900757	-13.743974567596235
31	-14.238547347838196	-19.173331255522516	-16.351992649653468	-13.673561739411507
32	-14.114006653368268	-19.004101620254918	-16.292485903694487	-13.707831706078897
33	-14.146300272083465	-18.995083199915918	-16.31863453532857	-13.70456278487834
34	-14.257763466400299	-18.997179754686925	-16.31034027139856	-13.655212417871292
35	-14.298009522934215	-18.977989029159396	-16.36167254286104	-13.69216442263052
36	-14.270932608942491	-18.968155166531062	-16.366987298014838	-13.769894534701022
37	-14.278447766025046	-18.886668372658658	-16.373987011495817	-13.818218463207048
38	-14.258540217666571	-18.904218436961397	-16.336934404973377	-13.683451549827462
39	-14.232988285521497	-18.889611558751653	-16.36025237818196	-13.611866945748938
40	-14.177531189032289	-18.842486133347315	-16.34019390239093	-13.545215479908201
41	-14.213147008389436	-18.760492484886647	-16.405440292468263	-13.846347252477504
42	-14.179217146531249	-18.644973535252852	-16.322703211347633	-13.797201910710484
43	-14.09751080461531	-18.597364898559192	-16.290160958884243	-13.682520450031387
44	-14.089285583055279	-18.628831133041178	-16.252321411074135	-13.568100727889409
45	-14.279200873992394	-18.511149138692847	-16.31256422877495	-13.902660953780153
46	-14.119818027522811	-18.587355384373343	-16.226179332198765	-13.585293124414205
47	-14.319998556467871	-18.475127665065816	-16.278212204987174	-13.813203240509278
48	-14.354023757031197	-18.566797109437314	-16.275838323359828	-13.689355834929344
49	-14.21536278575322	-18.404652349457248	-16.256439181386426	-13.790490669535627
50	-14.169758580264253	-18.343236463609973	-16.221886135607317	-13.733920785105651
51	-14.082111864954998	-18.3429838893119	-16.175125177889754	-13.565067845987722
52	-14.117468461019875	-18.248102368266927	-16.1728607801193	-13.694150087923669
53	-14.217135202050253	-18.209772184457247	-16.175819895730278	-13.74033050313591
54	-14.12246806732946	-18.181815919092312	-16.148557121933113	-13.637777661128268
55	-14.244538135481635	-18.163062430557535	-16.16528780704203	-13.70469322764883
56	-14.034742023393415	-18.237690896127138	-16.1174162930251	-13.365836154781093
57	-14.25327473907016	-18.09391945093317	-16.187098457243664	-13.757785950499366
58	-14.040167384057572	-18.0174294637937	-16.129317553272216	-13.687100907237266
59	-14.125878738965353	-18.007790499811904	-16.126566300753094	-13.694571139864562
60	-14.036438894866636	-17.930046389858592	-16.0768797924521	-13.615862422682886
61	-14.087517213021087	-17.892260854920774	-16.073712428078554	-13.614244354915677
62	-14.263349649615133	-17.903884478097826	-16.121138663245894	-13.826456742167286
63	-14.22309906564087	-17.934720982826526	-16.085242202377206	-13.639229700882208
64	-14.18913070960477	-17.909716433514554	-16.084693503961716	-13.740601099708131
65	-14.255842563186803	-17.80864710462542	-16.08047583724818	-13.86022980586631
66	-14.106230982563375	-17.777198826802426	-16.023479053116215	-13.694124738632743
67	-14.351773050575732	-17.792160551341613	-16.067206689675615	-13.848646076655392
68	-14.02041599957949	-17.82631680708303	-15.986724779387393	-13.44826098177594
69	-14.149464274778072	-17.777495822506946	-16.030902242285745	-13.743019277708735
70	-14.05922978836909	-17.728374583344383	-15.982556220819484	-13.687685821893908
71	-14.098136203773816	-17.70528581926992	-15.957470896068537	-13.616836456610471
72	-14.048814444939772	-17.678836010428437	-15.946678342869333	-13.563040668223554
73	-14.122858236441287	-17.677858805105817	-15.955989317136549	-13.611344299799116
74	-14.046461094633848	-17.604769406752396	-15.934169425051437	-13.678099196870996
75	-14.088838547544205	-17.657561284480906	-15.923362330093333	-13.56096154519072
76	-14.09611090697483	-17.621500026246125	-15.921153262235546	-13.59499289169944
77	-14.098336920290478	-17.625257910991106	-15.915347707044806	-13.516855528725655
78	-14.289033905496263	-17.834404740033104	-15.972189396822474	-13.543753838481331
79	-14.121803977148064	-17.639969204657838	-15.964475663732896	-13.712067421676956
80	-14.09758503713767	-17.649530633491715	-15.930838695907397	-13.586231944917781
81	-14.272947932249926	-17.646391061476958	-15.971550125907987	-13.78090037006859
82	-14.0143562504916	-17.617113330358897	-15.891669448016781	-13.462819698520073
83	-14.163030738475344	-17.566718743165147	-15.92775774513055	-13.644346933150821
84	-13.996306833590939	-17.53483038502923	-15.88339647690774	-13.54131890676482
85	-14.039056695799273	-17.479477419665326	-15.886647328080958	-13.682162497921723
86	-14.174542291103055	-17.502022344120597	-15.887155207358099	-13.69694207501071
87	-14.19486417679286	-17.46566992992322	-15.87427601419027	-13.720223550562428
88	-14.484548874482325	-17.53062082797477	-15.939759109924134	-13.867982161447502
89	-14.154489011661646	-17.604228760399977	-15.884142885940534	-13.598023739533785
90	-14.225244569258429	-17.508737565943193	-15.907517897969928	-13.812115276938805
91	-14.306488106173601	-17.509269594848817	-15.91268090550254	-13.834349229678464
92	-14.18795350953127	-17.62997187300416	-15.873667970219424	-13.580179807178556
93	-14.312713817659436	-17.428109629668597	-15.9112967850069	-13.916770579074221
94	-14.123030672860244	-17.585619537544936	-15.830689950540478	-13.380175061021438
95	-14.028157747390216	-17.505165021915467	-15.838804398907392	-13.42474742570138
96	-14.166406634121033	-17.483896901218767	-15.889538260514822	-13.620141597332866
97	-14.020363966824354	-17.607670533581825	-15.844871928485198	-13.355819904113945
98	-14.039102210790109	-17.418927980892935	-15.846052907257961	-13.577680069638976
99	-14.298526613474317	-17.469528205733816	-15.906225898124418	-13.845692020331457
100	-14.176842427582354	-17.451827314243804	-15.863897503783733	-13.74604820083406
101	-14.3494847029382	-17.425920251436956	-15.901483060010033	-13.894198424362719
102	-14.048309274471675	-17.442731008810025	-15.825077103546349	-13.586384171893428
103	-14.072240886065444	-17.327259061442092	-15.820327400636597	-13.725352440442943
104	-14.19142697479465	-17.311335704224813	-15.821305141451205	-13.773474427617359
105	-14.01225967384875	-17.353224937228326	-15.762238812264815	-13.548691657261257
106	-14.230329803241904	-17.38058145892942	-15.79299300834865	-13.6084342274476
107	-13.949495879372614	-17.511788273273677	-15.739496064188842	-13.229581310201276
108	-14.0169759980047	-17.375330546879777	-15.785253340171588	-13.543365900281971
